Station Name,Latitude (dd),Longitude (dd),Elevation (f)
"AJAX MOUNTAIN SNOW SITE, CO",39.14305556,-106.8152778,11277
"ANDREWS BUTTRESS SNOW SITE, CO",40.28888889,-105.6761111,11159
"APGAR LOOKOUT SNOW SITE, MT",48.51805556,-114.02,5179
"ARAPAHO CREEK SNOW SITE, CO",40.11194444,-105.7505556,8298
"ASTER PARK SNOW SITE, MT",48.4583333,-113.3780556,6304
"BANNER SUMMIT SNOW SITE, ID",44.3033333,-115.2344444,7042
"BEAR LAKE SNOW SITE, CO",40.31666667,-105.65,9883
"BEAVER MOUNTAIN SNOW SITE, UT",41.9675,-111.5552778,8453
"BERTHOUD PASS SNOW SITE, CO",39.80588056,-105.7786194,11373
"BIG MOUNTAIN SNOW SITE, MT",48.50805556,-114.345,6426
"BIG SKY SNOW SITE, MT",45.2772222,-111.4330556,9092
"BISCUIT BASIN SNOW SITE (IN ROAD), WY",44.47777778,-110.8555556,7291
"BISCUIT BASIN SNOW SITE, WY",44.47777778,-110.855,7288
"BOWMAN 1 SNOW SITE, MT",48.8675,-114.1866667,5054
"BOWMAN 2 SNOW SITE, MT",48.8833333,-114.18,6793
"BROOKLYN LAKE SNOW SITE, WY",41.3747222,-106.2447222,10598
"BRUMLEY SNOW SITE, CO",39.08693056,-106.5406,10597
"BUFFALO PASS SNOW SITE, CO",40.54442197,-106.6839325,10350
"BURNT MOUNTAIN SNOW SITE, CO",39.18055556,-106.9166667,10296
"CAMERON PASS SNOW SITE, CO",40.52185,-105.8940306,10275
"CANYON SNOW SITE, WY",44.7175,-110.5133333,7904
"CEMENT GULCH DIVIDE SNOW SITE, MT",46.6333333,-111.3833333,6334
"CHIEF JOSEPH PASS SNOW SITE, MT",45.69638889,-113.9358333,7308
"CULEBRA SNOW SITE, CO",37.21166667,-105.1994444,10706
"DAISY PASS SNOW SITE, MT",45.0508333,-109.9530556,9797
"DEADMAN HILL SNOW SITE, CO",40.79997936,-105.7672261,10200
"DINAH SHORE 1 SNOW SITE, MT",47.2094444,-113.6322222,5451
"DINAH SHORE 2 SNOW SITE, MT",47.25388889,-113.7244444,6862
"DIVIDE PEAK SNOW SITE, WY",41.3047222,-107.1597222,8640
"DRY CANYON SNOW SITE, MT",44.56416667,-111.1097222,7328
"DRY LAKE SNOW SITE, CO",40.5333098,-106.7839369,8270
"DUNCKLEY PASS SNOW SITE, CO",40.2017,-107.15635,9789
"E1 (GLACIER NP) SNOW SITE, MT",48.6958333,-113.5219444,4569
"E2 (GLACIER NP) SNOW SITE, MT",48.6783333,-113.5894444,4825
"E3 (GLACIER NP) SNOW SITE, MT",48.675,-113.6438889,5002
"E4 (GLACIER NP) SNOW SITE, MT",48.68527778,-113.6652778,4838
"E5 (GLACIER NP) SNOW SITE, MT",48.70916667,-113.6513889,7029
"E6 (GLACIER NP) SNOW SITE, MT",48.6894444,-113.6580556,6294
"E7 (GLACIER NP) SNOW SITE, MT",48.6869444,-113.6608333,5888
"EAST INLET-GRAND LAKE SNOW SITE, CO",40.23666667,-105.8005556,8398
"ELK RIVER SNOW SITE, CO",40.8480722,-106.9702111,8639
"ELKHART PARK SNOW SITE, WY",43.00277778,-109.7569444,9397
"FOREST CANYON PASS SNOW SITE, CO",40.425,-105.8052778,11198
"FOUR MILE MEADOW SNOW SITE, WY",43.8235,-110.2651556,7891
"FREMONT PASS SNOW SITE, CO",39.3643583,-106.215175,11216
"GALENA SUMMIT SNOW SITE, ID",43.87444444,-114.7144444,8810
"GALLEGOS PEAK SNOW SITE, NM",36.1947222,-105.5497222,9797
"GARNET CANYON SNOW SITE, WY",43.71,-110.7536111,7131
"GRAND MESA SNOW SITE, CO",39.032758,-107.9781235,NA
"GRANITE PARK SNOW SITE, MT",48.7711111,-113.7702778,6580
"GRANITE PASS SNOW SITE, MT",46.6411111,-114.6127778,6540
"GRASSY MOUNTAIN SNOW SITE, MT",46.35,-111.0666667,6281
"GREEN RIDGE SNOW SITE, CO",40.19555556,-105.8463889,8748
"GRIZZLY RIDGE SNOW SITE, UT",40.74888889,-109.505,9558
"GYPSUM CREEK SNOW SITE, WY",43.22916667,-109.9961111,8252
"HALFMOON CREEK SNOW SITE, CO",39.15027778,-106.4147222,10148
"HOGAN PEAK SNOW SITE, CO",40.45638889,-106.7130556,10158
"HOPEWELL SNOW SITE, NM",36.70916667,-106.2475,9958
"INDEPENDENCE PASS SNOW SITE (IN ROAD), CO",39.1125,-106.5833333,11191
