SiteNumber,StationName,SampleDate,WaterYear,SampleType,ANC (ueq/L),SC (uS/cm),pH,H (ueq/L),Ca (ueq/L),Mg (ueq/L),Na (ueq/L),K (ueq/L),NH4 (ueq/L),Cl (ueq/L),SO4 (ueq/L),NO3 (ueq/L),DOC (mg/L),Total N (mg/L),Total Dissolved N (mg/L),Hg (ng/L) Roth 1994,Hg (ng/L) USEPA 1631,d34S (per mil),SWE (cm),Snow Depth (cm),Ionic Balance (%)
3.91E+14,AJAX MOUNTAIN CO,3/29/00,2000,OB,-5.4,3.7,5.2,6.3,6.5,2.5,<1,2.9,4.7,0.8,6.5,9.3,1.22,,,,,,,185,15.9
4.02E+14,ANDREWS BUTTRESS CO,4/1/02,2002,OB,-9.8,6.2,5.1,7.9,10.5,2.5,2.1,0.9,4,1.7,5.4,17.1,0.59,,,1.5,,,127,328,7.1
4.83E+14,APGAR LOOKOUT MT,3/19/96,1996,OB,-6,3,5.2,6.3,<3.1,<1.7,4.3,3.8,1.9,<1.1,2.5,5.2,1.1,,,,,,,160,35.8
4.83E+14,APGAR LOOKOUT MT,4/4/97,1997,OB,-8,4,5,10,<3.1,<1.7,,1,2.3,1.4,5.2,4.9,1.1,,,,,6.6,,254,7.3
4.83E+14,APGAR LOOKOUT MT,3/5/98,1998,OB,-11,4.9,5,10,2.5,0.8,2.2,<0.5,6,1.4,6,6.9,0.7,,,,,6.3,,145,20.1
4.83E+14,APGAR LOOKOUT MT,3/25/99,1999,OB,-6.6,3.4,5.3,5,2.5,0.8,2,0.6,5.4,1.4,4.6,5.3,0.4,,,,,5.9,64,183,18.1
4.83E+14,APGAR LOOKOUT MT,3/6/00,2000,OB,-5.4,4.1,5.1,7.9,1.5,0.8,<1,<0.4,4.4,<0.6,4.8,6.7,0.41,,,,,7.3,,180,11.9
4.83E+14,APGAR LOOKOUT MT,3/4/02,2002,OB,-9.8,4.2,5.2,6.3,1.5,0.8,<1,<0.4,5.4,1.1,3.3,6.9,0.55,,,13,,,,142,10.7
4.83E+14,APGAR LOOKOUT MT,3/12/03,2003,OB,-8,5.8,5,10,3,0.8,1.2,<0.4,6.9,1.1,4.4,6.9,0.51,,,1.3,,,50,173,27.7
4.83E+14,APGAR LOOKOUT MT,3/9/04,2004,OB,-10.2,5.3,5.1,7.9,2.6,0.4,1.4,<0.4,5,2,4.2,7.6,0.56,,,1.7,,,61,178,11.3
4.83E+14,APGAR LOOKOUT MT,3/10/06,2006,OB,-4.4,4.1,5.4,4,<0.4,<0.2,1.5,<0.4,5.3,1.7,3.5,5.8,0.43,,,0.7,,,64,183,-0.9
4.83E+14,APGAR LOOKOUT MT,3/13/07,2007,OB,-4.4,4.7,5.2,6.3,3.9,0.7,1.4,0.6,4.7,1.4,4,6.4,0.35,,,2,,,59,152,19.7
4.83E+14,APGAR LOOKOUT MT,4/13/08,2008,OB,-2.8,4.5,5.3,5,4.5,0.8,1.8,0.6,6.3,1.4,4.4,5.9,0.35,,,1.5,,,73,208,23.8
4.83E+14,APGAR LOOKOUT MT,3/18/09,2009,OB,-3.2,3.8,5.5,3.2,3,0.8,<1,0.4,3.2,0.6,2.5,4.6,0.81,,,,3.07,,57,170,15.8
4.83E+14,APGAR LOOKOUT MT,3/15/10,2010,OB,-5,4.4,5.2,6.3,2.5,0.8,<1,0.5,6.3,0.6,3.1,6.6,0.45,,,,2.16,,52,165,22.8
4.83E+14,APGAR LOOKOUT MT,3/14/11,2011,OB,-9.6,4.1,5.2,6.3,2,0.5,1.1,<0.4,4.5,<0.6,3.5,5.9,0.44,,,,1.48,,69,259,21
4.83E+14,APGAR LOOKOUT MT,3/12/12,2012,OB,-4,3,4.9,12.6,3,<1.6,2.2,<0.5,6,2.2,4,5.4,0.4,0.16,,,2.13,,63,218,34.5
