,StationName,WaterYear,pH,Hydrogen,Calcium,Magnesium,Sodium,Potassium,Ammonium,Chloride,Sulfate,Nitrate,Dissolved_organic_carbon,Snow_depth
2,APGAR LOOKOUT MT,1996,5.2,6.3,<3.1,<1.7,4.3,3.8,1.9,<1.1,2.5,5.2,1.1,160.0
3,APGAR LOOKOUT MT,1997,5.0,10.0,<3.1,<1.7,,1,2.3,1.4,5.2,4.9,1.1,254.0
4,APGAR LOOKOUT MT,1998,5.0,10.0,2.5,0.8,2.2,<0.5,6,1.4,6,6.9,0.7,145.0
5,APGAR LOOKOUT MT,1999,5.3,5.0,2.5,0.8,2,0.6,5.4,1.4,4.6,5.3,0.4,183.0
6,APGAR LOOKOUT MT,2000,5.1,7.9,1.5,0.8,<1,<0.4,4.4,<0.6,4.8,6.7,0.41,180.0
7,APGAR LOOKOUT MT,2002,5.2,6.3,1.5,0.8,<1,<0.4,5.4,1.1,3.3,6.9,0.55,142.0
8,APGAR LOOKOUT MT,2003,5.0,10.0,3,0.8,1.2,<0.4,6.9,1.1,4.4,6.9,0.51,173.0
9,APGAR LOOKOUT MT,2004,5.1,7.9,2.6,0.4,1.4,<0.4,5,2,4.2,7.6,0.56,178.0
10,APGAR LOOKOUT MT,2006,5.4,4.0,<0.4,<0.2,1.5,<0.4,5.3,1.7,3.5,5.8,0.43,183.0
11,APGAR LOOKOUT MT,2007,5.2,6.3,3.9,0.7,1.4,0.6,4.7,1.4,4,6.4,0.35,152.0
12,APGAR LOOKOUT MT,2008,5.3,5.0,4.5,0.8,1.8,0.6,6.3,1.4,4.4,5.9,0.35,208.0
13,APGAR LOOKOUT MT,2009,5.5,3.2,3,0.8,<1,0.4,3.2,0.6,2.5,4.6,0.81,170.0
14,APGAR LOOKOUT MT,2010,5.2,6.3,2.5,0.8,<1,0.5,6.3,0.6,3.1,6.6,0.45,165.0
15,APGAR LOOKOUT MT,2011,5.2,6.3,2,0.5,1.1,<0.4,4.5,<0.6,3.5,5.9,0.44,259.0
16,APGAR LOOKOUT MT,2012,4.9,12.6,3,<1.6,2.2,<0.5,6,2.2,4,5.4,0.4,218.0
17,APGAR LOOKOUT MT,2013,5.1,7.9,2.5,<1.6,1.3,0.5,6.4,1.7,2.9,5.7,0.5,185.0
18,APGAR LOOKOUT MT,2014,5.8,1.6,2,<0.8,1.2,<0.3,5.4,0.8,2.9,4.3,0.32,198.0
19,APGAR LOOKOUT MT,2015,,,,,,,,,,,,81.0
20,APGAR LOOKOUT MT,2016,5.4,4.0,0.5,<0.2,0.9,0.3,2.9,0.6,1,2.9,<0.2,112.0
21,APGAR LOOKOUT MT,2017,5.4,4.0,2,<0.2,1.3,0.3,4.6,1.1,2.7,5.9,0.3,206.0
22,APGAR LOOKOUT MT,2018,5.5,3.2,2.2,0.7,1.5,0.4,4.5,1.4,2.3,5.3,0.33,267.0
